HNX30
225.52
3.98	1.79
37507000	497.63	
VC3	18	14.8	16.4	16.3	540	16.4	770	16.5	690	0.2	1.22	16.6	90	18250	16.6	420	16.7	790	16.8	770	16.8	16.3	16.51	0	0	2988763	0	0	
NRC	9.3	7.7	8.5	8.3	910	8.4	300	8.5	270	0	0	8.5	220	3500	8.7	240	8.8	460	8.9	220	8.6	8.5	8.58	0	0	671185	0	0	
KLF	2	1.8	1.9	0	0	1.8	307640	1.9	31830	0	0	1.9	300	133280	2	373300	0	0	0	0	2	1.9	1.9	100	0	7978755	0	0	
SHS	9.9	8.1	9	9.4	13650	9.5	9110	9.6	10470	0.7	7.78	9.7	120	388750	9.7	630	9.8	15370	9.9	37960	9.8	9	9.32	2750	18600	8503518	0	0	
SLS	58.8	48.2	53.5	52.6	130	52.7	20	53	10	0	0	53.5	10	160	53.7	80	53.8	20	53.9	20	53.5	53.5	53.5	0	0	443620	0	0	
DGC	42.7	35.1	38.9	38	2600	38.1	80	38.2	220	-0.7	-1.8	38.2	10	16240	38.5	610	38.6	400	38.7	470	39	37.5	38.3	0	0	6232315	0	0	
PVI	33.6	27.6	30.6	30.3	470	30.4	250	30.5	1790	-0.1	-0.33	30.5	90	2360	30.7	50	30.8	560	30.9	50	30.7	30.5	30.67	710	0	10692197	0	0	
PVC	5.9	4.9	5.4	5.2	760	5.3	8410	5.4	5220	0.1	1.85	5.5	140	47570	5.5	23950	5.6	11920	5.7	4140	5.6	5.4	5.52	100	0	1887102	0	0	
TVC	33	27	30	28.2	2770	28.3	2020	28.4	1760	-1.6	-5.33	28.4	300	53600	28.5	640	28.7	480	29	840	31.2	27	28.5	0	0	1960658	0	0	
ACB	27.2	22.4	24.8	25.2	6230	25.3	7090	25.4	930	0.7	2.82	25.5	1620	375630	25.5	25040	25.6	19830	25.7	7420	25.5	24.8	25.28	0	0	0	0	0	
VGS	8.9	7.3	8.1	7.8	50	7.9	120	8	250	0	0	8.1	10	1230	8.1	70	8.2	1720	8.3	10	8.1	8	8	0	0	1997545	0	0	
L14	72.9	59.7	66.3	64.8	30	64.9	10	65	50	-1.3	-1.96	65	950	7070	65.4	300	65.5	140	65.7	280	66.5	64.5	65.14	0	0	904963	0	0	
BVS	10.4	8.6	9.5	9.2	920	9.3	1180	9.4	1590	0	0	9.5	10	5490	9.5	2680	9.6	2180	9.7	1170	9.5	9.3	9.41	1200	1600	1673127	0	0	
VCS	73.4	60.2	66.8	66.5	1010	66.6	1740	66.7	170	-0.1	-0.15	66.7	30	18590	66.8	350	66.9	100	67	600	67.5	66.5	66.79	1330	0	7409670	0	0	
VCG	27.6	22.6	25.1	24.8	2180	24.9	2080	25	300	0.1	0.4	25.2	20	8810	25.2	480	25.4	1220	25.5	2050	25.2	24.8	24.97	0	0	21442549	0	0	
MBS	11.5	9.5	10.5	10.3	1470	10.4	3220	10.5	120	0	0	10.5	370	17130	10.6	1120	10.7	330	10.8	7310	10.6	10.4	10.5	0	0	8045259	0	0	
DP3	83.6	68.4	76	72.7	30	74	40	74.1	50	-2	-2.63	74	100	600	74.5	20	74.8	30	75	220	78	71.7	74.97	20	0	417474	0	0	
DDG	30.5	25.1	27.8	27.5	840	27.6	210	27.7	80	-0.1	-0.36	27.7	50	11030	27.8	150	27.9	190	28	360	28	27.3	27.62	0	0	1199990	0	0	
PVS	14.4	11.8	13.1	13.2	29280	13.3	41910	13.4	40280	0.3	2.29	13.4	50	653750	13.5	104950	13.6	127190	13.7	66550	13.6	13.2	13.41	1470	250	17344978	0	0	
PVB	15.9	13.1	14.5	14.4	650	14.5	1370	14.6	2300	0.2	1.38	14.7	80	11990	14.7	500	14.8	2920	14.9	5240	14.7	14.4	14.65	0	0	1057591	0	0	
NDN	20.6	17	18.8	19.7	590	19.8	1420	19.9	2680	1.1	5.85	19.9	500	82380	20	4360	20.1	1460	20.2	1510	20.6	18.7	19.46	0	0	2319157	0	0	
LHC	76.2	62.4	69.3	67.5	50	67.6	90	68	20	-1.3	-1.88	68	30	1470	69	40	69.3	100	69.5	200	69	67.5	67.67	100	0	94366	0	0	
VMC	10.7	8.9	9.8	9.5	400	9.6	350	9.7	200	0	0	9.8	130	780	9.8	170	9.9	270	10	180	9.8	9.8	9.8	0	0	920900	0	0	
TNG	15.1	12.5	13.8	13.6	9710	13.7	12270	13.8	170	0	0	13.8	200	71130	13.9	2040	14	11640	14.1	7760	14	13.8	13.88	0	0	2771573	0	0	
CAP	31.7	26.1	28.9	28.6	30	28.7	60	28.8	200	0	0	28.9	10	760	28.9	160	29	150	29.3	10	28.9	28.7	28.78	70	0	248198	0	0	
CEO	8.4	7	7.7	7.4	25940	7.5	14060	7.6	1930	-0.1	-1.3	7.6	2000	32890	7.7	36950	7.8	50000	7.9	22110	7.7	7.6	7.61	1020	0	8577212	0	0	
DTD	13.2	10.8	12	11.8	2000	11.9	1740	12	150	0	0	12	50	6360	12.1	550	12.2	860	12.3	530	12.1	11.8	11.94	0	200	1202779	0	0	
DHT	49.2	40.4	44.8	44	260	44.1	330	44.2	110	0	0	44.8	10	1670	44.8	80	44.9	140	45	400	44.9	44.2	44.59	50	0	969405	0	0	
SHB	15.4	12.6	14	14.9	15200	15	15430	15.1	140	1.2	8.57	15.2	90	1219700	15.2	16130	15.3	43760	15.4	181790	15.2	13.8	14.56	550	107560	34810593	0	0	
HUT	2.4	2	2.2	2	276280	2.1	159330	2.2	109500	0.1	4.55	2.3	20	558530	2.3	112600	2.4	231420	0	0	2.3	2.1	2.2	100	1720	12142248	0	0	
