VN100
769.55
-10.64	-1.38
780.16	-0	26490	0.51	
771.11	-1.18	178219040	3544.15	
771.05	-1.19	189451380	3783.25	
VND	12.9	11.3	12.1	12.25	2539	12.3	13038	12.35	12378	0.3	2.48	12.4	2986	127590	12.4	916	12.45	1578	12.5	5493	12.4	12.7	12.05	651	11443	2876326	
CTG	24.55	21.35	22.95	22.7	13523	22.75	3504	22.8	24076	-0.15	-0.65	22.8	39061	763785	22.85	406	22.9	7940	22.95	7035	22.8	23.6	22.65	141348	92141	1381072	
DCM	9.08	7.9	8.49	8.53	50	8.55	10	8.56	20	0.09	1.06	8.58	2902	239043	8.58	471	8.6	3534	8.62	139	8.58	8.87	8.4	957	2821	24931107	
HCM	19.75	17.25	18.5	18.4	4571	18.45	7704	18.5	6770	0	0	18.5	20463	292016	18.6	1894	18.65	129	18.7	987	18.5	19.15	18.35	6663	42036	14083548	
TCH	23.75	20.65	22.2	22.55	6174	22.6	55555	22.65	1700	0.55	2.48	22.75	12361	306246	22.75	6042	22.8	2201	22.85	1564	22.75	22.85	21.6	3169	3470	16191436	
BMI	22.85	19.95	21.4	21	6520	21.05	1000	21.1	873	-0.3	-1.4	21.1	1882	28537	21.2	175	21.25	399	21.3	1120	21.1	21.6	21	895	4297	1222724	
VNG	14.85	12.95	13.9	13.75	139	13.8	210	13.85	300	0	0	13.9	838	18100	13.9	1278	13.95	1408	14	971	13.9	13.95	13.6	0	249	4753425	
CMG	30.2	26.3	28.25	27.8	710	27.85	40	27.9	871	-0.25	-0.88	28	20	5086	28	502	28.35	72	28.4	427	28	28.4	27.9	1518	643	1167974	
DPM	15.05	13.15	14.1	14.35	10310	14.4	9915	14.45	2207	0.4	2.84	14.5	13990	412411	14.5	5090	14.55	7184	14.6	39760	14.5	14.7	14	5696	344	14177660	
FLC	3.12	2.72	2.92	2.87	6390	2.88	48531	2.89	56885	-0.03	-1.03	2.89	45291	378950	2.9	1218	2.91	27937	2.92	49883	2.89	2.93	2.89	7581	27293	32873155	
VCI	24.9	21.7	23.3	23.1	500	23.15	1011	23.2	4218	-0.1	-0.43	23.2	7689	79819	23.25	68	23.35	5	23.4	36	23.2	23.85	22.8	3264	32528	11491566	
MSN	68.2	59.4	63.8	61.8	2891	61.9	2625	62	8514	-1.8	-2.82	62	20543	131085	62.1	10	62.2	20	62.5	143	62	63.7	62	3068	3629	11240676	
SJS	20.3	17.7	19	18.9	1300	18.95	2078	19	60	0.05	0.26	19.05	70	5622	19.05	329	19.1	294	19.2	612	19.05	19.3	18.95	532	490	5374987	
HT1	14.55	12.65	13.6	13.5	3158	13.55	1254	13.6	1035	0	0	13.6	3220	36749	13.65	60	13.75	141	13.8	1347	13.6	13.9	13.5	780	2560	16247352	
CSM	17.5	15.3	16.4	15.8	2145	15.85	1720	15.9	91	-0.5	-3.05	15.9	50	4897	16	11	16.1	20	16.15	10	15.9	16.45	15.9	0	32	4861346	
DIG	13.05	11.35	12.2	12	6166	12.05	8618	12.1	897	0	0	12.2	15013	73491	12.2	10845	12.25	1800	12.3	3649	12.2	12.3	12	507	73	4554864	
SAM	9.89	8.61	9.25	9.14	478	9.15	299	9.2	1530	0	0	9.25	2253	7353	9.25	996	9.29	300	9.3	274	9.25	9.25	9.14	0	392	12169662	
FCN	9.88	8.6	9.24	9.08	1932	9.09	1752	9.1	1301	-0.12	-1.3	9.12	8186	45330	9.12	3256	9.15	500	9.18	4460	9.12	9.2	9.09	0	2818	2933157	
PVT	11.4	9.96	10.7	10.4	7179	10.45	446	10.5	2899	-0.2	-1.87	10.5	32970	221138	10.55	741	10.6	1885	10.65	810	10.5	10.8	10.5	100	50012	6708330	
HDB	26.8	23.3	25.05	23.8	4519	23.85	1643	23.9	698	-1.15	-4.59	23.9	5280	104664	24.05	110	24.1	2830	24.15	762	23.9	24.5	23.85	1454	10476	8701482	
VNM	123	107	115	114.1	134	114.2	50	114.3	500	-0.6	-0.52	114.4	6379	108306	114.4	6800	114.5	3577	114.6	2207	114.4	114.8	113.5	66628	28561	71940125	
CTD	74.3	64.7	69.5	67.8	172	67.9	101	68	1544	-1.4	-2.01	68.1	1150	27432	68.1	122	68.7	113	68.8	46	68.1	69.9	68	107	969	195822	
CII	21.5	18.7	20.1	19.6	4005	19.65	11290	19.7	6452	-0.4	-1.99	19.7	4649	146584	19.8	2464	19.85	603	19.9	38	19.7	20.25	19.7	655	76196	7025667	
STB	11.2	9.77	10.5	10.1	58384	10.15	11902	10.2	11243	-0.3	-2.86	10.2	115770	1487014	10.25	20230	10.3	15878	10.35	10332	10.2	10.6	10.2	5730	46807	27315563	
HAG	4.42	3.86	4.14	4.13	28490	4.14	19407	4.15	3680	0.01	0.24	4.15	14400	315953	4.16	4500	4.17	4655	4.18	1820	4.15	4.24	4.07	849	990	38008254	
TCB	23.5	20.5	22	20.95	58	21	37853	21.05	21145	-0.95	-4.32	21.05	30690	332204	21.1	3000	21.15	2694	21.2	3764	21.05	21.6	21.05	35074	35074	0	
HPG	28.35	24.65	26.5	27.1	19981	27.15	25332	27.2	55148	0.75	2.83	27.25	87629	1625281	27.25	6008	27.3	28007	27.35	23487	27.25	27.45	26.25	252881	365119	33486441	
MBB	18.8	16.4	17.6	17.15	11519	17.2	28506	17.25	38108	-0.35	-1.99	17.25	55954	770521	17.3	21781	17.35	4055	17.4	14435	17.25	17.65	17.2	10000	52670	0	
CTI	20.2	17.6	18.9	18.85	201	18.9	335	18.95	20	0.1	0.53	19	1425	192265	19	2295	19.1	240	19.2	210	19	19.8	18.4	59	18138	2017640	
MSH	38.6	33.6	36.1	35.9	412	35.95	202	36	100	-0.1	-0.28	36	154	7837	36.1	147	36.2	1	36.3	108	36	36.4	35.85	697	1227	2235276	
DXG	12.15	10.65	11.4	10.95	3899	11	13330	11.05	10255	-0.3	-2.63	11.1	21355	464707	11.1	8409	11.15	310	11.2	9690	11.1	11.55	11	103616	105545	4746333	
VPB	26.4	23	24.7	24.05	5532	24.1	62724	24.15	7732	-0.55	-2.23	24.15	43425	484087	24.2	1002	24.25	3552	24.3	8071	24.15	24.75	24.1	371614	302878	0	
DPG	27.15	23.65	26.4	0	0	23.65	2955	23.7	1256	-2.7	-10.23	23.7	6059	54875	23.8	1000	24	160	24.05	34	23.7	25.8	23.7	519	857	2191195	
EIB	18.6	16.2	17.4	16.8	3169	16.85	1918	16.9	887	-0.5	-2.87	16.9	253	64170	17.1	147	17.2	3047	17.25	251	16.9	17.5	16.55	0	801	12905	
TDM	22.05	19.25	20.65	20.6	2004	20.65	1497	20.7	487	0.2	0.97	20.85	1900	26151	20.85	1095	20.9	310	20.95	10	20.85	20.85	20.5	5672	911	3695182	
CRE	16.4	14.3	15.35	15.2	1489	15.25	3718	15.3	890	-0.05	-0.33	15.3	1833	34552	15.35	1178	15.4	784	15.45	4353	15.3	15.55	15.3	131	32	1962441	
POW	10.9	9.49	10.2	10	55384	10.05	23071	10.1	76518	-0.1	-0.98	10.1	17845	342786	10.15	40063	10.2	70319	10.25	22787	10.1	10.2	10.1	174947	128735	88195272	
PNJ	68.4	59.6	64	63	15495	63.1	4077	63.2	1940	-0.8	-1.25	63.2	4145	80120	63.3	670	63.4	1932	63.5	1828	63.2	63.7	62.8	8444	8444	0	
SCS	121.9	106.1	114	116	144	116.1	14	116.2	20	2.3	2.02	116.3	136	4201	116.3	101	116.4	55	116.5	154	116.3	116.4	114	2190	22	1400375	
LDG	5.77	5.03	5.4	5.23	3050	5.24	3000	5.25	1603	-0.15	-2.78	5.25	30942	376552	5.28	1000	5.29	700	5.3	10305	5.25	5.51	5.25	500	6894	11469651	
VPI	45.4	39.5	42.45	42.25	132	42.3	146	42.35	1	-0.1	-0.24	42.35	912	53711	42.4	812	42.5	748	42.55	573	42.35	42.7	42.35	2336	0	7166567	
NVL	57.2	49.8	53.5	53	1867	53.1	1200	53.2	1000	-0.2	-0.37	53.3	4108	105149	53.3	1825	53.4	2404	53.5	1861	53.3	54.3	52.4	0	1245	31417829	
NCT	65.4	57	61.2	61	61	61.1	321	61.2	48	0	0	61.2	301	1729	61.3	110	61.4	130	61.5	373	61.2	61.5	61.2	0	0	1001465	
BVH	53.6	46.6	50.1	49.05	60	49.1	1916	49.15	3	-0.95	-1.9	49.15	3097	89198	49.2	10	49.4	5	49.45	450	49.15	50.4	49.1	6080	4056	15253864	
FRT	26.75	23.25	25	24.85	5023	24.9	6864	24.95	60	0	0	25	14068	154659	25	25	25.3	602	25.35	407	25	26	24.9	2916	11058	984345	
GEX	18.05	15.75	16.9	17	31087	17.05	12203	17.1	18912	0.2	1.18	17.1	28357	563482	17.15	8415	17.2	9567	17.25	5549	17.1	17.55	17.05	7302	4828	16545729	
DBD	54.7	47.65	51.2	50.8	60	50.9	12	51	32	-0.2	-0.39	51	10	2957	51.1	293	51.3	329	51.4	430	0	51.7	51	8	0	5235781	
SCR	4.93	4.29	4.61	4.56	952	4.57	2110	4.58	3169	-0.02	-0.43	4.59	18875	109507	4.59	34	4.61	2195	4.63	100	4.59	4.65	4.59	376	1270	17414397	
ANV	19.45	16.95	18.2	18	3253	18.05	36	18.1	659	-0.1	-0.55	18.1	2006	22536	18.15	100	18.2	799	18.25	683	18.1	18.3	18.1	364	0	6095415	
AAA	13.4	11.7	12.55	12.25	19012	12.3	13484	12.35	8221	-0.2	-1.59	12.35	12630	169687	12.4	100	12.45	200	12.5	7995	12.35	12.65	12.35	2007	1141	6225808	
PC1	17.95	15.65	16.8	16.7	8493	16.75	2364	16.8	42	0	0	16.8	372	72007	16.85	1225	16.9	1214	16.95	113	16.8	17	16.75	161	180	4629176	
VIC	104.8	91.2	98	96.2	11	96.3	104	96.4	713	-1.6	-1.63	96.4	2795	29293	96.6	20	96.7	30	96.8	42	96.4	98	96.4	3325	6204	76756812	
SAB	188.3	163.7	176	173.5	1004	173.9	91	174	1368	-2	-1.14	174	635	4522	175	133	175.1	10	175.2	13	174	176	173	1331	838	23512067	
VRE	28.1	24.5	26.3	25.7	9634	25.75	1451	25.8	3347	-0.5	-1.9	25.8	25713	593813	25.85	500	25.9	2309	25.95	5983	25.8	26.1	25.5	189238	121185	42197260	
GMD	20.75	18.05	19.4	19.2	4807	19.25	1877	19.3	345	-0.1	-0.52	19.3	2960	30883	19.35	400	19.4	608	19.45	570	19.3	19.5	19.25	215	0	0	
SJD	18.15	15.85	17	16.8	707	16.9	202	17	643	0	0	17	7	3102	17.1	260	17.2	2182	17.5	115	0	17	16.75	1000	300	1564837	
HDG	28.6	24.9	26.75	25.8	330	25.9	1001	26	5757	-0.75	-2.8	26	3803	57765	26.1	500	26.2	1193	26.4	450	26	26.75	26	100	822	3913377	
KDH	23.5	20.5	22	21.2	1825	21.25	2179	21.3	2862	-0.7	-3.18	21.3	8705	65416	21.55	190	21.6	203	21.65	200	21.3	22.05	21.25	13	4627	2793845	
PAN	23.5	20.5	22	21.6	50	21.7	50	21.8	1300	-0.1	-0.45	21.9	652	2927	21.9	48	22	338	22.2	148	21.9	22.4	21.9	42	62	1033860	
NBB	20.7	18	19.35	19.05	29	19.1	500	19.15	2	-0.15	-0.78	19.2	50	824	19.2	114	19.3	297	19.35	275	0	19.2	19.1	0	0	3106156	
PVD	11.55	10.05	10.8	10.65	9612	10.7	38366	10.75	3646	-0.05	-0.46	10.75	27233	740437	10.8	17963	10.85	5124	10.9	9959	10.75	11.2	10.7	16083	562	15378854	
REE	34	29.6	31.8	31.1	2849	31.15	2315	31.2	151	-0.6	-1.89	31.2	3599	40866	31.3	400	31.35	339	31.4	473	31.2	31.6	31.2	0	0	0	
SSI	15.35	13.35	14.35	14.2	12715	14.25	4540	14.3	6884	-0.05	-0.35	14.3	29551	745501	14.35	591	14.4	1171	14.45	6120	14.3	14.7	14.1	9150	33532	29846869	
DHC	39.05	33.95	36.5	35.9	240	36	5791	36.1	1617	-0.4	-1.1	36.1	528	9411	36.4	20	36.5	664	36.55	315	36.1	36.5	36.1	884	79	700521	
HBC	9.35	8.13	8.74	8.8	18672	8.81	2385	8.82	226	0.08	0.92	8.82	16662	479810	8.85	1242	8.86	374	8.87	747	8.82	9.12	8.75	20	16344	6642690	
BWE	23.15	20.15	21.65	21.6	738	21.65	433	21.7	90	0.1	0.46	21.75	135	15439	21.75	9	21.8	225	21.85	1226	21.75	21.85	21.6	712	0	5952717	
PHR	49.2	42.8	46	45.4	1578	45.45	672	45.5	1920	-0.5	-1.09	45.5	5445	117398	45.6	611	45.65	330	45.7	1007	45.5	46.45	45.45	970	1335	5429543	
KDC	30.1	26.2	28.15	28.8	2070	28.85	60	28.9	50	0.85	3.02	29	1826	94253	29	173	29.05	136	29.1	3583	29	30	28.3	1050	4327	20951237	
PDR	26.7	23.25	28.2	24.7	1099	24.75	1363	24.85	243	-3.35	-11.88	24.85	1192	81979	25.05	387	25.1	560	25.2	990	24.85	25.05	24.65	1250	522	15040192	
VCB	86.8	75.6	81.2	80.7	1107	80.8	5031	80.9	621	-0.2	-0.25	81	7086	80571	81	655	81.1	656	81.2	4560	81	81.3	80	139544	93966	23406260	
GAS	80.2	69.8	75	73.7	2158	73.8	3807	73.9	1230	-1.1	-1.47	73.9	5136	98270	74	413	74.1	559	74.2	815	73.9	74.9	73.6	15658	7027	87480744	
KBC	13.9	12.1	13	12.7	8135	12.75	2906	12.8	19111	-0.15	-1.15	12.85	8539	324496	12.85	9641	12.9	18390	12.95	33215	12.85	13.05	12.8	1570	27452	12831523	
