HNXFIN
210.24
3.51	1.7
18970300	244.32	
ART	2.9	2.5	2.7	2.5	121930	2.6	65680	2.7	35830	0.1	3.7	2.8	200	156560	2.8	79670	2.9	162960	0	0	2.8	2.6	2.73	0	0	4200598	0	0	
PVI	33.5	27.5	30.5	30.1	220	30.2	240	30.5	140	0	0	30.5	110	1700	30.6	200	30.7	300	30.8	70	30.6	28.5	30	1120	0	10697677	0	0	
PTI	19.9	16.3	18.1	17	130	17.1	10	17.3	20	0	0	0	0	0	19	80	19.8	20	19.9	20	0	0	18.1	0	0	913535	0	0	
PV2	2.7	2.3	2.5	0	0	0	0	2.5	530	0.1	4	2.6	10	10	2.6	630	2.7	1490	0	0	2.6	2.6	2.6	0	0	1828500	0	0	
VNR	20.9	17.1	19	18.1	10	18.3	60	18.4	30	-0.5	-2.63	18.5	30	220	18.5	30	19	100	19.4	10	19	18.3	18.63	0	10	2722179	0	0	
TIG	7.2	6	6.6	6.3	11420	6.4	18340	6.5	11720	0	0	6.6	390	77930	6.6	26320	6.7	21570	6.8	9290	6.6	6.4	6.51	1900	0	2849886	0	0	
ACB	24.6	20.2	22.4	22.4	51590	22.5	45250	22.6	4260	0.2	0.89	22.6	250	351780	22.7	28970	22.8	35070	22.9	14880	22.7	22.3	22.54	0	0	0	0	0	
VIX	5.7	4.7	5.2	4.8	200	4.9	4100	5	970	-0.1	-1.92	5.1	150	1370	5.1	50	5.2	1340	5.3	980	5.2	5.1	5.1	0	0	5565390	0	0	
VIG	1	0.8	0.9	0	0	0	0	0.8	40410	0	0	0.9	320	77270	0.9	22980	1	23300	0	0	0.9	0.8	0.81	390	0	1634421	0	0	
IVS	8.4	7	7.7	7	140	7.1	110	7.2	210	0.1	1.3	7.8	10	270	7.8	10	7.9	230	8	1100	7.8	7.3	7.51	0	100	1641383	0	0	
BVS	9.7	8.1	8.9	8.6	2980	8.7	6530	8.8	1130	0	0	8.9	200	8780	8.9	3040	9	2710	9.1	2060	8.9	8.8	8.83	2000	4500	1657447	0	0	
MBS	10.5	8.7	9.6	9.4	1010	9.5	3700	9.6	520	0	0	9.6	320	11910	9.7	1670	9.8	870	9.9	470	9.7	9.5	9.52	0	0	8045509	0	0	
WSS	1.8	1.6	1.7	0	0	1.6	850	1.7	90	0	0	1.7	10	200	0	0	0	0	0	0	1.8	1.7	1.79	0	0	2346830	0	0	
HBS	2.2	1.8	2	0	0	0	0	1.8	4220	-0.1	-5	1.9	50	380	1.9	220	2	1250	2.1	430	1.9	1.9	1.9	100	0	1594525	0	0	
PSI	2.5	2.1	2.3	0	0	0	0	2.1	10	0.2	8.7	2.5	10	20	0	0	0	0	0	0	2.5	2.4	2.45	0	0	2039450	0	0	
EVS	8.6	7.2	7.9	0	0	0	0	0	0	-0.4	-5.06	7.5	30	150	0	70	7.6	50	7.7	20	7.8	7.2	7.5	0	0	6000040	0	0	
NVB	8.8	7.2	8	7.6	19310	7.7	15710	7.8	9350	0	0	8	40	177440	8	5400	8.1	10330	8.2	6590	8	7.8	7.94	0	0	10469333	0	0	
API	11.6	9.6	10.6	9.7	40	9.8	20	9.9	20	-0.7	-6.6	9.9	10	20	10.5	10	10.6	110	11.4	10	9.9	9.9	9.9	0	0	177107	0	0	
APS	2.4	2	2.2	0	0	2	600	2.1	430	0	0	2.2	10	10	2.2	660	2.3	530	2.4	410	2.2	2.2	2.2	0	0	2750605	0	0	
SHB	14.5	11.9	13.2	13.8	14790	13.9	31550	14	44370	0.9	6.82	14.1	80	888650	14.1	540	14.2	4960	14.3	17120	14.5	13.1	14.15	2505	202720	34378170	0	0	
SHS	9.6	8	8.8	8.7	26420	8.8	35860	8.9	9250	0.2	2.27	9	1290	142200	9	23480	9.1	35010	9.2	31300	9	8.8	8.9	0	23630	8395498	0	0	
SHN	7.7	6.3	7	6.7	20	6.8	130	6.9	530	0.4	5.71	7.4	10	160	7.4	370	7.5	240	7.6	100	7.4	6.9	6.93	0	0	6343684	0	0	
