HNXFIN
211.42
1.19	0.56
24816200	328.92	
BVS	9.7	8.1	8.9	8.9	3850	9	2870	9.1	500	0.2	2.25	9.1	500	20850	9.2	380	9.3	840	9.4	100	9.3	8.8	9	2020	5820	1664227	0	0	
HBS	2	1.8	1.9	0	0	1.8	3650	1.9	60	0	0	1.9	20	920	2	1070	0	0	0	0	1.9	1.9	1.9	0	0	1594525	0	0	
PSI	2.7	2.3	2.5	0	0	0	0	2.4	1300	-0.1	-4	2.4	20	30	2.5	10	2.6	30	2.7	480	2.5	2.4	2.43	0	0	2039450	0	0	
TIG	7.2	6	6.6	6.5	21930	6.6	11940	6.7	11100	0.2	3.03	6.8	390	158230	6.8	33580	6.9	10680	7	28100	6.8	6.4	6.62	510	12000	2849376	0	0	
EVS	8.2	6.8	7.5	0	0	0	0	0	0	0	0	7.5	10	20	7.5	10	7.6	30	7.7	80	7.7	7.5	7.6	0	0	6000040	0	0	
NVB	8.8	7.2	8	7.7	13430	7.8	22090	7.9	530	0	0	8	1200	284730	8	26370	8.1	12180	8.2	2000	8	7.8	7.89	0	0	10469333	0	0	
MBS	10.5	8.7	9.6	9.7	940	9.8	950	9.9	1550	0.3	3.12	9.9	170	13110	10	2380	10.1	990	10.2	610	10	9.6	9.83	0	0	8045509	0	0	
PVI	33.5	27.5	30.5	30.5	270	30.6	1100	30.7	100	0.2	0.66	30.7	10	3350	30.8	610	30.9	210	31	580	31	30.5	30.66	1380	0	10696297	0	0	
IVS	8.5	7.1	7.8	0	0	7.1	800	7.2	210	-0.2	-2.56	7.6	80	820	7.6	220	7.7	100	7.8	20	7.8	7.1	7.28	200	690	1641413	0	0	
PTI	19.9	16.3	18.1	17.1	140	17.2	30	17.3	10	0	0	0	0	0	18.1	10	18.4	60	19.5	20	0	0	18.1	0	0	913545	0	0	
VNR	20.3	16.7	18.5	18.3	10	18.4	50	18.5	70	-0.2	-1.08	18.3	30	40	18.9	20	19	130	19.9	560	18.3	18.3	18.3	0	10	2722179	0	0	
VIX	5.6	4.6	5.1	4.9	290	5	2160	5.1	1480	0	0	5.1	210	4940	5.2	1600	5.3	810	5.4	260	5.2	5.1	5.13	0	0	5565390	0	0	
VIG	1	0.8	0.9	0	0	0	0	0.8	19000	-0.1	-11.11	0.8	1730	69060	0.9	19610	1	20560	0	0	0.9	0.8	0.8	500	0	1633921	0	0	
ART	3	2.6	2.8	0	0	2.6	107230	2.7	64650	-0.1	-3.57	2.7	100	81280	2.8	42730	2.9	79880	3	197890	2.8	2.7	2.75	0	0	4200598	0	0	
PV2	2.8	2.4	2.6	0	0	0	0	2.5	500	0	0	2.6	500	500	2.6	130	2.7	1000	2.8	1500	2.6	2.6	2.6	0	0	1828500	0	0	
WSS	1.8	1.6	1.7	0	0	1.6	450	1.7	1310	0.1	5.88	1.8	590	600	0	0	0	0	0	0	1.8	1.8	1.8	0	0	2346830	0	0	
API	10.8	9	9.9	9.4	10	9.6	10	9.7	10	-0.8	-8.08	9.1	10	10	10.4	10	10.5	60	10.6	10	9.1	9.1	9.1	0	0	177107	0	0	
APS	2.4	2	2.2	0	0	2	2650	2.1	890	-0.1	-4.55	2.1	100	630	2.2	730	2.3	970	2.4	1820	2.1	2.1	2.1	0	0	2750605	0	0	
ACB	24.8	20.4	22.6	23	10360	23.1	13150	23.2	7010	0.7	3.1	23.3	900	526290	23.3	700	23.4	9040	23.5	35010	23.5	22.5	23.05	0	0	0	0	0	
SHB	15.5	12.7	14.1	13.7	30390	13.8	17050	13.9	1970	-0.1	-0.71	14	50	992330	14	1550	14.1	20440	14.2	18070	14.3	13.1	13.86	16391	12373	34381522	0	0	
SHS	9.9	8.1	9	9	23540	9.1	19940	9.2	23290	0.3	3.33	9.3	100	323840	9.3	3600	9.4	33970	9.5	39410	9.4	8.9	9.2	0	14520	8400898	0	0	
SHN	8.1	6.7	7.4	6.7	90	6.8	50	7	90	-0.4	-5.41	7	20	40	7.2	80	7.3	440	7.4	870	7.3	7	7.08	0	0	6343684	0	0	
