HNXFIN
210.59
0.74	0.35
18633200	248.94	
HBS	2	1.8	1.9	0	0	1.8	5510	1.9	400	0.1	5.26	2	10	4290	2	600	0	0	0	0	2	1.8	1.81	0	0	1594525	0	0	
PSI	2.8	2.4	2.6	0	0	0	0	0	0	-0.1	-3.85	2.5	30	50	2.5	70	2.6	30	2.8	440	2.5	2.5	2.5	0	0	2039450	0	0	
EVS	9	7.4	8.2	0	0	0	0	7.4	400	0	0	8.2	30	30	8.2	2680	8.5	50	8.9	200	8.2	8.2	8.2	0	0	6000040	0	0	
NVB	9	7.4	8.2	7.8	20740	7.9	11000	8	890	-0.1	-1.22	8.1	840	163740	8.1	4550	8.2	4820	8.3	2900	8.2	7.9	7.95	0	0	10469333	0	0	
PVI	33.8	27.8	30.8	30.2	100	30.3	50	30.4	210	0	0	30.8	10	2630	30.8	120	30.9	560	31	1370	30.9	30.3	30.7	1500	1200	10693297	0	0	
PTI	19.9	16.3	18.1	17.1	10	17.3	10	18	20	0	0	0	0	0	19.2	20	19.3	60	19.4	20	0	0	18.1	0	0	913545	0	0	
VNR	20.7	17.1	18.9	18.3	50	18.4	50	18.5	50	-0.3	-1.59	18.6	10	1170	19.8	110	19.9	700	20	580	19.9	18.6	19.71	1000	0	2721179	0	0	
TIG	7.2	6	6.6	6.3	28650	6.4	24470	6.5	10470	0	0	6.6	50	84560	6.6	14270	6.7	14840	6.8	39360	6.6	6.4	6.53	20	0	2874726	0	0	
VIG	0.9	0.7	0.8	0	0	0	0	0.7	101410	0	0	0.8	970	42120	0.8	17180	0.9	25560	0	0	0.8	0.7	0.72	750	0	1632671	0	0	
IVS	7.8	6.4	7.1	6.7	30	7	150	7.1	240	0	0	7.1	100	940	7.6	160	7.7	2240	7.8	120	7.2	7.1	7.16	50	0	1641593	0	0	
BVS	10.3	8.5	9.4	9.1	840	9.2	1480	9.3	610	0	0	9.4	10	6070	9.4	1560	9.5	3690	9.6	820	9.4	9.2	9.36	500	2000	1673007	0	0	
MBS	11.4	9.4	10.4	10.1	950	10.2	1000	10.3	2720	0	0	10.4	30	28550	10.4	1490	10.5	2800	10.6	200	10.5	10.2	10.28	0	0	8045509	0	0	
ART	2.9	2.5	2.7	2.5	63870	2.6	98770	2.7	1810	0	0	2.7	1130	110480	2.8	132900	2.9	158500	0	0	2.8	2.7	2.7	100	50	4206998	0	0	
PV2	2.8	2.4	2.6	0	0	2.4	50	2.5	30	0	0	0	0	0	2.6	130	2.8	600	0	0	0	0	2.6	0	0	1828500	0	0	
VIX	5.5	4.5	5	4.7	1510	4.8	1430	4.9	5860	-0.1	-2	4.9	70	7060	5	400	5.1	1430	5.2	990	5.1	4.9	4.95	0	0	5565390	0	0	
WSS	1.9	1.7	1.8	0	0	0	0	1.7	1300	0	0	1.8	150	250	1.9	380	0	0	0	0	1.9	1.8	1.84	0	0	2346880	0	0	
API	10.3	8.5	9.4	8.5	50	8.6	20	9.4	200	0.6	6.38	10	10	10	10.1	10	10.2	10	10.3	60	10	10	10	10	0	177097	0	0	
APS	2.2	1.8	2	2.1	380	2.2	5330	0	2100	0.2	10	2.2	10	4090	0	0	0	0	0	0	2.2	2	2.11	0	0	2750605	0	0	
ACB	25	20.6	22.8	22.7	15960	22.8	33460	22.9	16470	0.1	0.44	22.9	10	356780	23	2430	23.1	10030	23.2	14500	23.2	22.8	23	0	0	0	0	0	
SHB	14.9	12.3	13.6	13.8	26580	13.9	2490	14	8000	0.5	3.68	14.1	30	924140	14.1	18500	14.2	56650	14.3	61620	14.3	13.4	13.91	21300	8310	34780293	0	0	
SHS	9.9	8.1	9	8.7	12700	8.8	17050	8.9	17400	-0.1	-1.11	8.9	1850	125460	9	6040	9.1	11400	9.2	18690	9.1	8.9	9.03	0	10710	8432988	0	0	
SHN	7.4	6.2	6.8	6.4	80	6.5	210	6.6	110	0	0	6.8	90	900	7	30	7.1	200	7.2	560	6.8	6.8	6.8	0	0	6343684	0	0	
